Time,StudentID,Behavior
2025-12-25_21-08-48,1,Leaning
2025-12-25_21-08-48,1,Leaning
2025-12-25_21-08-48,1,Leaning
2025-12-25_21-08-49,1,Leaning
2025-12-25_21-08-50,1,Leaning
2025-12-25_21-08-50,1,Leaning
2025-12-25_21-08-50,1,Leaning
2025-12-25_21-08-50,1,Leaning
2025-12-25_21-08-50,1,Leaning
2025-12-25_21-08-50,1,Leaning
2025-12-25_21-08-50,1,Leaning
2025-12-25_21-08-50,1,Leaning
2025-12-25_21-08-51,1,Leaning
2025-12-25_21-08-51,1,Leaning
2025-12-25_21-08-51,1,Leaning
2025-12-25_21-08-51,1,Leaning
2025-12-25_21-08-51,1,Leaning
2025-12-25_21-08-51,1,Leaning
2025-12-25_21-08-51,1,Leaning
2025-12-25_21-08-51,1,Leaning
2025-12-25_21-08-51,1,Leaning
2025-12-25_21-08-52,1,Leaning
2025-12-25_21-08-52,1,Leaning
2025-12-25_21-08-52,1,Leaning
2025-12-25_21-08-52,1,Leaning
2025-12-25_21-08-52,1,Leaning
2025-12-25_21-08-52,1,Leaning
2025-12-25_21-08-52,1,Leaning
2025-12-25_21-08-53,1,Leaning
2025-12-25_21-08-53,1,Leaning
2025-12-25_21-08-53,1,Leaning
2025-12-25_21-08-54,1,Leaning
2025-12-25_21-08-54,1,Leaning
2025-12-25_21-09-23,1,Leaning
2025-12-25_21-09-23,1,Leaning
2025-12-25_21-09-23,1,Leaning
2025-12-25_21-09-23,1,Leaning
2025-12-25_21-09-23,1,Leaning
2025-12-25_21-09-24,1,Leaning
2025-12-25_21-09-24,1,Leaning
2025-12-25_21-09-24,1,Leaning
2025-12-25_21-16-03,1,Leaning
2025-12-25_21-16-04,1,Leaning
2025-12-25_21-16-04,1,Leaning
2025-12-25_21-16-04,1,Leaning
2025-12-25_21-16-04,1,Leaning
2025-12-25_21-16-04,1,Leaning
2025-12-25_21-16-04,1,Leaning
2025-12-25_21-16-04,1,Leaning
2025-12-25_21-16-04,1,Leaning
2025-12-25_21-16-05,1,Leaning
2025-12-25_21-16-05,1,Leaning
